id,title,year,bases,problem,attack,methods,modeling
1,INTRUSION DETECTION IN CONTROLLED DISCRETE EVENT SYSTEMS,2006,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,finite-state automata
3,CONSTRUCTION OF FALSE SEQUENCE ATTACK AGAINST PLC BASED POWER CONTROL SYSTEM,2016,IEEExplore,attack model,sensor,identification algorithm,finite-state automata
4,DETECTION AND PREVENTION OF ACTUATOR ENABLEMENT ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2016,IEEExplore,attack detection and mitigation,actuator,sct,finite-state automata
5,A CYBER ATTACK MODEL WITH BOUNDED SENSOR READING ALTERATIONS,2017,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor,Finite state transducers,finite-state automata
6,SECURITY AGAINST NETWORK ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2017,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
7,STEALTHY DECEPTION ATTACKS FOR CYBER-PHYSICAL SYSTEMS,2017,IEEExplore-Scopus-Web of Science,attack model,sensor,game theory-sct,finite-state automata
8,SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS UNDER ATTACKS,2017,Engineering Village-Scopus-Web of Science,supervisor synthesis,sensor,game theory-sct,finite-state automata
9,DETECTABLE AND UNDETECTABLE NETWORK ATTACK SECURITY OF CYBER-PHYSICAL SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
10,DETECTION AND MITIGATION OF CLASSES OF ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
11,MODELING AND DETECTION OF CYBER ATTACKS ON DISCRETE EVENT SYSTEMS,2018,Scopus-Science Direct-Web of Science,attack detection and mitigation,sensor-actuator,permutation matrices ,petri nets
13,STEALTHY ATTACKS FOR PARTIALLY-OBSERVED DISCRETE EVENT SYSTEMS,2018,IEEExplore-Scopus-Web of Science,attack model,sensor,sct,finite-state automata
14,SUPERVISOR SYNTHESIS TO THWART CYBER ATTACK WITH BOUNDED SENSOR READING ALTERATIONS,2018,Engineering Village-Scopus-Science Direct-Web of Science,supervisor synthesis,sensor,sct,finite-state automata
15,ATTACK-RESILIENT SUPERVISORY CONTROL WITH INTERMITTENTLY SECURE COMMUNICATION,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,Finite state transducers,finite-state automata
16,MODELING OF CYBER ATTACKS AND A TIME GUARD DETECTION FOR ICS BASED ON DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor-actuator,timed automaton,signal interpreted Petri nets
17,MULTIPLE ATTACKS DETECTION ON DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor,fault diagnosis theory,finite-state automata
18,SECURITY AGAINST COMMUNICATION NETWORK ATTACKS OF CYBER-PHYSICAL SYSTEMS,2019,Scopus-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
19,SENSOR AND ACTUATOR ATTACKS OF CYBER-PHYSICAL SYSTEMS: A STUDY BASED ON SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
20,SUPERVISOR OBFUSCATION AGAINST ACTUATOR ENABLEMENT ATTACK,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,actuator,sct,finite-state automata
21,SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS IN THE PRESENCE OF SENSOR AND ACTUATOR ATTACKS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,Finite state transducers,finite-state transducer
23,SYNTHESIS OF COVERT ACTUATOR ATTACKERS FOR FREE,2019,Engineering Village-Scopus-Web of Science,attack model,actuator,sct,finite-state automata
24,SYNTHESIS OF SENSOR DECEPTION ATTACKS FOR SYSTEMS MODELED AS PROBABILISTIC AUTOMATA,2019,IEEExplore-Scopus-Web of Science,attack model,sensor,stochastic graph games,probabilistic finite-state automata
25,SYNTHESIS OF SUPREMAL SUCCESSFUL NORMAL ACTUATOR ATTACKERS ON NORMAL SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,attack model,actuator,sct,finite-state automata
26,TOWARDS BOUNDED SYNTHESIS OF RESILIENT SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,reduction of Quantified Boolean Formula Problem,finite-state automata
27,TOWARDS RESILIENT SUPERVISORS AGAINST SENSOR DECEPTION ATTACKS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,sct,finite-state automata
28,DETECTION AND PREVENTION OF CYBER-ATTACKS IN NETWORKED CONTROL SYSTEMS,2020,Scopus-Web of Science,attack detection and mitigation,actuator,AE-safe controllability,finite-state automata
29,DETECTION AND PREVENTION OF CYBER-ATTACKS IN NETWORKED CONTROL SYSTEMS,2020,Science Direct,attack detection and mitigation,actuator,sct,finite-state automata
30,DISCRETE CONTROL OF RESPONSE FOR CYBERSECURITY IN INDUSTRIAL CONTROL,2020,Scopus-Science Direct-Web of Science,attack detection and mitigation,denail of service,reconfiguration,Labelled Transitions Systems (LTS)
31,MITIGATION OF CLASSES OF ATTACKS USING A PROBABILISTIC DISCRETE EVENT SYSTEM FRAMEWORK,2020,Engineering Village-Scopus-Web of Science,attack detection and mitigation,sensor,Markov decision processes (MDPs),probabilistic finite-state automata
32,MOVING TARGET DEFENSE BASED ON SWITCHED SUPERVISORY CONTROL: A NEW TECHNIQUE FOR MITIGATING SENSOR DECEPTION ATTACKS,2020,Scopus-Web of Science,attack detection and mitigation,sensor,moving target defense,finite-state automata
33,ON ATTACK MITIGATION IN SUPERVISORY CONTROL SYSTEMS: A TOLERANT CONTROL APPROACH,2020,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,finite-state automata
34,OPACITY OF DISCRETE EVENT SYSTEMS WITH ACTIVE INTRUDER,2020,Engineering Village,verification,sensor-actuator,reactive current state opacity,finite-state transducer
36,STEALTHY SENSOR ATTACKS FOR PLANTS MODELED BY LABELED PETRI NETS,2020,Scopus-Web of Science,attack model,sensor,reachability graph,petri nets
37,SYNTHESIS OF COVERT ACTUATOR AND SENSOR ATTACKERS AS SUPERVISOR SYNTHESIS,2020,Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
38,SYNTHESIS OF SENSOR DECEPTION ATTACKS AT THE SUPERVISORY LAYER OF CYBER-PHYSICAL SYSTEMS,2020,Web of Science,attack model,sensor,sct,finite-state automata
39,SYNTHESIS OF SENSOR DECEPTION ATTACKS AT THE SUPERVISORY LAYER OF CYBER–PHYSICAL SYSTEMS,2020,Scopus-Science Direct,attack model,sensor,Nsertion Deletion Attack structure (IDA),finite-state automata
40,ATTACKS ON DISTRIBUTED SEQUENTIAL CONTROL IN MANUFACTURING AUTOMATION,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
41,COSTS ANALYSIS OF STEALTHY ATTACKS WITH BOUNDED OUTPUT SYNCHRONIZED PETRI NETS,2021,IEEExplore-Scopus,attack detection and mitigation,sensor-actuator,Labeled finite automaton with inputs,petri nets
42,CRITICAL OBSERVABILITY OF FINITE STATE MACHINES UNDER ATTACKS,2021,Web of Science,attack detection and mitigation,actuator,sct,finite-state machines
43,ERROR- AND TAMPER-TOLERANT DECENTRALIZED DIAGNOSABILITY OF DISCRETE EVENT SYSTEMS UNDER COST CONSTRAINTS,2021,Engineering Village-IEEExplore-Scopus-Web of Science,diagnosabilty,sensor,recursive state estimation ,finite-state automata
44,HEURISTIC SYNTHESIS OF COVERT ATTACKERS AGAINST UNKNOWN SUPERVISORS,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,heuristic synthesis algorithm,finite-state automata
